meter,total_consumption,avg_consumption,std_dev,peak,missing_pct,segment,volatility
MAC000002,4214.9250004,0.24057791098173514,0.23967487367618978,2.994,0.0,Industrial,0.9921224697332148
MAC000003,7008.3410035,0.4000651332058454,0.6398232492030319,3.757,0.01141552511415525,Industrial,1.595310078661574
MAC000004,618.246,0.035290027969632966,0.07177270137473604,0.69,0.005707762557077625,Residential,1.9777527158368278
MAC000006,1053.8650000000002,0.060152111872146134,0.05459270004930438,0.774,0.0,Residential,0.8927361358090813
MAC000007,3419.0919992999998,0.19518707537249527,0.23343887990190995,3.7839999,0.017123287671232876,Commercial,1.189878994111542
MAC000008,5200.733999399999,0.35881978745687865,0.24964694768071613,3.5810001,17.271689497716896,Industrial,0.6938110587112561
MAC000009,3012.3720003999997,0.1720274113642853,0.16744849159655928,2.4349999,0.05136986301369863,Commercial,0.9677570176671003
MAC000010,9309.049997099999,0.5313384701541095,0.4156485424276607,4.1890001,0.0,Industrial,0.7807974920680303
MAC000011,5245.4999996999995,0.2994177749700325,0.25018622640240634,2.582,0.005707762557077625,Industrial,0.8327943525557471
MAC000012,807.8789998,0.04611444716022604,0.08233747171828601,1.345,0.005707762557077625,Residential,1.7476056004281253
MAC000013,1770.194,0.10104423768479937,0.054628071613698086,0.432,0.005707762557077625,Residential,0.5353371523283529
MAC000018,3723.3339999000004,0.2125190639212329,0.1520795501526053,2.0880001,0.0,Commercial,0.7122527954164664
MAC000019,2309.4749999,0.13181934930936073,0.12805934926471718,1.641,0.0,Commercial,0.9641618478828967
MAC000020,2203.9560003,0.1258109373387373,0.13961638343894875,2.0090001,0.01141552511415525,Residential,1.1009806123111097
MAC000021,8088.857000000001,0.461719104971745,0.23701400955260604,2.7160001,0.005707762557077625,Industrial,0.5122200639782938
MAC000022,4485.1880001,0.2560184942119984,0.18432981365375048,1.294,0.005707762557077625,Industrial,0.7171850189959809
MAC000023,5020.1329997,0.2865536274730293,0.2931451049797845,2.2550001,0.005707762557077625,Industrial,1.0194449903341234
MAC000024,7525.710996200001,0.4295742334722302,0.6368595947113364,5.0250001,0.005707762557077625,Industrial,1.47909360384987
MAC000025,1833.4479997999997,0.10468470936393741,0.22701604918384924,1.783,0.03424657534246575,Residential,2.148050087379182
MAC000026,4351.7249995,0.24857057174273148,0.22549185794392448,2.6289999,0.07420091324200913,Industrial,0.903519418853484
MAC000027,3174.7220001,0.1812055936130137,0.11081592727890006,1.437,0.0,Commercial,0.608191686553059
MAC000029,1144.4590002,0.06536777474297464,0.1052983079724372,2.05,0.0684931506849315,Residential,1.5865878942036329
MAC000030,4222.480998999999,0.2411330591628119,0.2855240000032509,3.0710001,0.05136986301369863,Industrial,1.1792028770894214
MAC000032,4710.1109962,0.26885729757406246,0.5451731421826167,3.2309999,0.005707762557077625,Industrial,2.0202275316753058
MAC000033,2746.9490002,0.15679827616873107,0.1159285710556676,1.854,0.005707762557077625,Commercial,0.7346631019701831
MAC000034,8807.1339995,0.5028050924583238,1.0380824935639619,6.5279999,0.0228310502283105,Industrial,2.0604843204315864
MAC000035,8158.127001400001,0.4656996804087225,0.368790208931064,3.217,0.01141552511415525,Industrial,0.7902088311011652
MAC000036,965.3520000000001,0.05510314515668703,0.060586071251765725,0.419,0.005707762557077625,Residential,1.079905076311829
MAC000037,29.675999999999995,0.0016939323020720358,0.032835757077597755,0.862,0.005707762557077625,Residential,12.18878330845291
MAC000038,4468.6989993,0.25510641087514985,0.2623555780819191,2.6489999,0.017123287671232876,Industrial,1.024400666837722
MAC000039,3342.1370006,0.19085928848152592,0.22240421525980292,2.223,0.05136986301369863,Commercial,1.1592048371492745
MAC000040,11500.526999400001,0.6564227739383562,0.44370260114065224,5.1719999,0.0,Industrial,0.6749121246326893
MAC000041,3109.4630008,0.17750102756022376,0.20177903384614534,1.573,0.01141552511415525,Commercial,1.1304082480873556
MAC000042,3536.3719993000004,0.2019283960086793,0.1864997277729524,2.8559999,0.039954337899543384,Commercial,0.9190420436032805
MAC000043,1290.914,0.07369071811850668,0.07227998323944404,2.2130001,0.01141552511415525,Residential,0.9677237688994007
MAC000045,7434.340003300001,0.42435869646098523,0.4793663942368965,3.543,0.005707762557077625,Industrial,1.1269697745109226
MAC000047,1772.413,0.10124602993259454,0.06304635715468365,1.112,0.07990867579908677,Residential,0.6166142313422518
MAC000049,12792.9839999,0.7301931506792237,0.6738724228813735,6.171,0.0,Industrial,0.9216065854219182
MAC000053,3286.0979993,0.18760550349965746,0.19999810683978575,2.4619999,0.0228310502283105,Commercial,1.0604044056442339
MAC000054,3548.487,0.20255077344597294,0.12116796097404185,1.349,0.005707762557077625,Commercial,0.5952714348501487
MAC000055,4578.5739978,0.26137888895358796,0.21337768322375575,2.4579999,0.017123287671232876,Industrial,0.8132425747922882
MAC000056,2051.3900002,0.11710183812079004,0.10852851091169101,1.5420001,0.01141552511415525,Residential,0.9189400659513207
MAC000057,2794.953,0.1595292808219178,0.10793922689809705,1.757,0.0,Commercial,0.6723958790909852
MAC000058,1247.492,0.07121201050348214,0.07909755546059469,1.043,0.01141552511415525,Residential,1.0953517968701414
MAC000059,6353.2360003,0.3626690261616623,0.19221456148938942,2.0880001,0.01141552511415525,Industrial,0.528542569374451
MAC000060,3870.4500001,0.22091609589611874,0.207013119631347,2.036,0.0,Commercial,0.932844094951328
MAC000061,2214.4469999999997,0.12640259147211597,0.09417662350737546,1.152,0.005707762557077625,Residential,0.7392049284020057
MAC000062,4428.169000100001,0.2527926585659645,0.13093220697958752,2.7160001,0.017123287671232876,Industrial,0.5159022633649439
MAC000066,2503.3520000999997,0.14290170111314077,0.10740520791497728,1.619,0.01141552511415525,Commercial,0.7463790009718605
MAC000067,2432.448,0.13885420710126725,0.09110351919637097,1.022,0.01141552511415525,Commercial,0.6514177948926747
MAC000068,6762.7419999,0.3862658213331049,0.28932042369394556,2.2060001,0.0684931506849315,Industrial,0.7470848387756067
MAC000069,1878.3770001,0.10723166067819832,0.1288811311602914,2.3510001,0.017123287671232876,Residential,1.1907895559644925
MAC000070,1598.6199998000002,0.09125585111314077,0.12306350096595468,1.454,0.01141552511415525,Residential,1.333937083459693
MAC000072,1571.97,0.08972943661167875,0.13270919149904462,1.433,0.005707762557077625,Residential,1.4626916737843185
MAC000073,1491.3430006000003,0.08519525853184806,0.1546663721983504,1.919,0.08561643835616438,Residential,1.794372159591622
MAC000074,4838.5530001,0.27626772867991317,0.2191213871791528,2.6429999,0.03424657534246575,Industrial,0.7902881024863648
MAC000077,2279.895,0.13013842114275928,0.08657166925508619,0.658,0.005707762557077625,Residential,0.6601548844395722
MAC000078,1721.9340006,0.098289514275929,0.17766018603094114,2.5109999,0.005707762557077625,Residential,1.7893146857100874
MAC000079,5598.618001,0.3285766770937261,0.3724804197046244,4.04,2.7454337899543377,Industrial,1.13017833358001
MAC000081,4693.0380006,0.26791334135982187,0.24276542852662478,2.323,0.017123287671232876,Industrial,0.9027645385648247
MAC000083,5472.8649982,0.31239596998687136,0.27796636789531953,2.812,0.005707762557077625,Industrial,0.8869494011265173
MAC000084,4862.3989997,0.27755003137736173,0.15542642698789189,2.1070001,0.005707762557077625,Industrial,0.5579838789439234
MAC000085,9430.652002,0.5383099493121754,0.5010268427240702,3.658,0.005707762557077625,Industrial,0.9290146480017091
MAC000086,1989.9209999,0.1135864489925224,0.1266770416222686,1.834,0.005707762557077625,Residential,1.1055150302330705
MAC000087,5785.790000700001,0.3302957127761603,0.19510334590111755,1.876,0.017123287671232876,Industrial,0.5889099628431925
MAC000089,2446.9590000999997,0.13967458188823562,0.178937053814554,2.0009999,0.005707762557077625,Commercial,1.2719927894061025
MAC000090,5772.436998700001,0.32953342459896107,0.3784446109113583,2.3199999,0.017123287671232876,Industrial,1.1449511085619504
MAC000091,2253.0909997999997,0.1286010844634703,0.10088164821442813,1.653,0.0,Residential,0.7784012659466819
MAC000092,1628.9009993,0.09299503307261932,0.1464807762843211,1.615,0.0228310502283105,Residential,1.558388475390524
MAC000093,4144.9469994,0.23665127030545247,0.22128484333189846,1.886,0.028538812785388126,Industrial,0.9311325920853767
MAC000094,4261.8179996,0.24326833721102803,0.1996891828767975,1.997,0.005707762557077625,Industrial,0.8174992516704375
MAC000096,10549.675000399999,0.6021847708430845,0.40293965392714354,3.6830001,0.005707762557077625,Industrial,0.6680202707438153
MAC000097,7013.8169988,0.40035487178491924,0.4028610882378355,3.918,0.005707762557077625,Industrial,1.00375282962486
MAC000098,3890.6320004000004,0.22329155190541783,0.18493282449419507,1.7920001,0.547945205479452,Commercial,0.8245197954320631
